Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HElo,AElo
2026-06-23,2026,KuPS,Ilves,4,3,H,O,1.6,3.88,4.57,8,2.0,0.0,0.0,1.0,6.0,3.0,3.0,2.0,8.0,-6.0,4.0,-5.0,9.0,1.0,0.0,1.0,0.0,1.0,-1.0,57.1,0.0,0.0,50.0,1728.0,1631.7
2026-06-23,2026,Jaro,Gnistan,1,1,D,U,3.35,3.58,1.91,6,1.0,1.0,1.0,1.0,7.0,4.0,3.0,7.0,3.0,4.0,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,20.0,40.0,20.0,40.0,1443.3,1538.2
2026-06-23,2026,Inter Turku,SJK,1,1,D,U,1.55,3.96,4.88,8,2.0,1.0,0.0,1.0,4.0,5.0,-1.0,1.0,5.0,-4.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,57.1,0.0,20.0,60.0,1673.8,1591.4
2026-06-18,2026,AC Oulu,Mariehamn,2,1,H,O,1.35,4.55,7.16,5,3.0,0.0,0.0,2.0,5.0,1.0,4.0,1.0,5.0,-4.0,4.0,-4.0,8.0,1.0,0.0,1.0,0.0,1.0,-1.0,100.0,0.0,0.0,80.0,1530.5,1444.2
2026-06-17,2026,TPS,KuPS,1,2,A,O,4.93,3.71,1.59,6,2.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,4.0,-3.0,2.0,-2.0,4.0,0.0,0.0,0.0,0.0,1.0,-1.0,80.0,0.0,20.0,20.0,1487.0,1723.9
2026-06-17,2026,SJK,VPS,1,2,A,O,2.27,3.35,2.74,6,0.0,1.0,2.0,1.0,2.0,2.0,0.0,5.0,2.0,3.0,-3.0,0.0,-3.0,0.0,0.0,0.0,1.0,0.0,1.0,20.0,40.0,20.0,40.0,1603.4,1532.9
2026-06-17,2026,Ilves,Jaro,5,0,H,O,1.6,3.9,4.56,6,2.0,0.0,1.0,3.0,4.0,1.0,3.0,3.0,10.0,-7.0,1.0,-9.0,10.0,1.0,0.0,1.0,1.0,2.0,-1.0,60.0,40.0,0.0,66.7,1626.4,1448.6
2026-06-17,2026,HJK,Inter Turku,3,3,D,O,2.41,3.29,2.61,6,2.0,2.0,0.0,0.0,4.0,7.0,-3.0,2.0,3.0,-1.0,2.0,4.0,-2.0,0.0,2.0,-2.0,0.0,0.0,0.0,60.0,20.0,60.0,20.0,1620.9,1675.4
2026-06-17,2026,Gnistan,Lahti,1,0,H,U,2.38,3.31,2.63,6,3.0,0.0,0.0,3.0,10.0,2.0,8.0,2.0,5.0,-3.0,8.0,-3.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,60.0,40.0,25.0,75.0,1529.8,1470.7
2026-06-13,2026,VPS,KuPS,1,1,D,U,3.3,3.2,2.07,5,2.0,0.0,0.0,1.0,6.0,2.0,4.0,4.0,4.0,0.0,2.0,-2.0,4.0,0.0,0.0,0.0,0.0,1.0,-1.0,50.0,0.0,25.0,25.0,1527.7,1729.1
2026-06-13,2026,Mariehamn,Gnistan,0,3,A,O,4.18,3.73,1.71,5,0.0,0.0,1.0,1.0,3.0,2.0,1.0,4.0,4.0,0.0,-1.0,-2.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,25.0,0.0,50.0,1452.2,1521.8
2026-06-13,2026,Lahti,SJK,2,3,A,O,2.16,3.41,2.93,6,1.0,0.0,0.0,2.0,7.0,2.0,5.0,2.0,5.0,-3.0,5.0,-3.0,8.0,1.0,0.0,1.0,0.0,1.0,-1.0,40.0,20.0,0.0,75.0,1477.4,1596.7
2026-06-13,2026,Jaro,HJK,2,5,A,O,4.93,4.12,1.53,5,1.0,0.0,0.0,2.0,6.0,2.0,4.0,3.0,4.0,-1.0,3.0,-2.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,25.0,25.0,20.0,40.0,1454.3,1615.2
2026-06-13,2026,Inter Turku,AC Oulu,0,0,D,U,1.65,3.68,4.6,7,2.0,1.0,0.0,2.0,5.0,2.0,3.0,2.0,3.0,-1.0,3.0,-1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,66.7,0.0,50.0,50.0,1679.5,1526.4
2026-06-13,2026,Ilves,TPS,1,0,H,U,1.78,3.63,3.86,5,2.0,0.0,1.0,2.0,4.0,3.0,1.0,3.0,5.0,-2.0,1.0,-2.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,50.0,50.0,0.0,50.0,1619.9,1493.5
2026-05-31,2026,AC Oulu,Jaro,2,1,H,O,1.62,3.7,4.75,4,3.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,10.0,-10.0,4.0,-10.0,14.0,1.0,0.0,1.0,0.0,3.0,-3.0,100.0,0.0,0.0,60.0,1518.0,1462.7
2026-05-30,2026,TPS,VPS,1,0,H,U,3.17,3.25,2.1,5,2.0,1.0,0.0,1.0,4.0,2.0,2.0,1.0,2.0,-1.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,75.0,0.0,25.0,25.0,1481.9,1539.3
